"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"53","204.4852900505335","289.3066626069169","4.767756460678756","-0.3105625096653012","0.018798828125","0.009765625","0.02783203125","1216","0.0003283551110379974","0","0.0003283551110379974","0.0003283551110379974","53_60:0.006375886233204731","53_60:533.3333333333333","true"
"54","368.83537925156935","54.61338270741864","4.82158248984198","-0.310411116462148","0.027099609375","0.033203125","0.02099609375","1216","0.00014201633055243543","0","0.00014201633055243543","0.00014201633055243543","54_45:0.005064999986611307","54_45:533.3333333333333","true"
"55","255.84084828838547","411.3954115717249","4.907427571507492","-0.3099926060240599","0.0068359375","0.0068359375","0.0068359375","1216","0.00019285233292928947","0","0.00019285233292928947","0.00019285233292928947","55_49:0.01923264349200504","55_49:533.3333333333333","true"
"56","518.9844621852117","10.681608770499302","4.455280719207545","-0.31803803916063483","0.197998046875","0.0693359375","0.32666015625","1216","0.0010088378702771297","0","0.0010088378702771297","0.0010088378702771297","56_57:1;56_52:1","56_57:768;56_52:881.7777777777777","true"
"57","301.8929522916314","8.328662647975294","4.834695152620622","-0.31001546755225406","0.177734375","0.11865234375","0.23681640625","1216","1","0","1","1","57_58:0.0765043218445185","57_58:533.3333333333333","true"
"58","457.126492656943","95.47016992340467","4.708835418756495","-0.31366733324274093","0.01025390625","0.01171875","0.0087890625","1216","0.00019865945106390263","0","0.00019865945106390263","0.00019865945106390263","","","true"
"59","198.36210288855747","268.51919300847374","4.810879591543777","-0.3102363990787504","0.046630859375","0.01513671875","0.078125","1216","0.0003042050675400343","0","0.0003042050675400343","0.0003042050675400343","59_58:0.0068661791906249325;59_60:0.008094909406402728","59_58:533.3333333333333;59_60:533.3333333333333","true"
"60","328.2274658727427","382.0883671499177","4.672413796562997","-0.31324002018211905","0.0068359375","0.00927734375","0.00439453125","1216","0.0001763077850671869","0","0.0001763077850671869","0.0001763077850671869","","","true"
"61","349.7871333802361","356.1855492845816","4.901570844284981","-0.30995863458067757","0.014404296875","0.01025390625","0.0185546875","1216","0.00023620101972205934","0","0.00023620101972205934","0.00023620101972205934","61_60:0.00531246922965517;61_62:0.005217183726023755","61_60:533.3333333333333;61_62:533.3333333333333","true"
"62","366.5153423773377","372.51097900569806","4.771228495209157","-0.3109932039506031","0.017333984375","0.01416015625","0.0205078125","1216","0.0002247032541021467","0","0.0002247032541021467","0.0002247032541021467","","","true"
"63","218.47552593390483","101.74542982071821","4.994847753516892","-0.308453762666027","0.013916015625","0.00927734375","0.0185546875","1216","0.00019805647973988392","0","0.00019805647973988392","0.00019805647973988392","63_62:0.008583656016769803;63_64:0.006708466721837281","63_62:533.3333333333333;63_64:533.3333333333333","true"
"64","272.4773705770421","157.1652134309757","4.8789240126192945","-0.31051183745857736","0.0498046875","0.05078125","0.048828125","1216","1","0","1","1","64_54:0.006521734505902987;64_65:0.008695384622013136","64_54:533.3333333333333;64_65:533.3333333333333","true"
"65","295.1337094506104","253.44765407590688","4.758085115186187","-0.31051573933044047","0.0517578125","0.04443359375","0.05908203125","1216","0.00039657635525045594","0","0.00039657635525045594","0.00039657635525045594","","","true"
"66","338.99039753456606","456.3112075790895","4.809614900050917","-0.3109248312518322","0.076904296875","0.13134765625","0.0224609375","1216","0.0004821945061037374","0","0.0004821945061037374","0.0004821945061037374","66_65:0.010350810523335474","66_65:533.3333333333333","true"
"67","309.4772076422411","352.941566057108","4.893014178018498","-0.31039200176040205","0.008544921875","0.0107421875","0.00634765625","1216","0.00016937463377052488","0","0.00016937463377052488","0.00016937463377052488","67_66:0.00884369034757626","67_66:533.3333333333333","true"
"68","271.01536865682226","170.98569723104478","4.741283248806403","-0.31180260683390987","0.010498046875","0.0126953125","0.00830078125","1216","0.00013338361496251106","0","0.00013338361496251106","0.00013338361496251106","68_67:0.006387345032003999;68_55:0.007821158150064067","68_67:533.3333333333333;68_55:533.3333333333333","true"
"69","402.3184500474527","32.92780110216097","4.837436742738081","-0.30965408980565917","0.009521484375","0.01025390625","0.0087890625","1216","0.00019705062707169822","0","0.00019705062707169822","0.00019705062707169822","69_68:0.009603694556301279;69_70:0.008527519416697216","69_68:533.3333333333333;69_70:533.3333333333333","true"
"70","177.3041083273663","262.68121567571","4.708539844009745","-0.31145025923177105","0.00537109375","0.0068359375","0.00390625","1216","0.00013603515313783895","0","0.00013603515313783895","0.00013603515313783895","","","true"
"71","249.93320220372993","143.05800917729547","4.846325845753457","-0.3101101834347441","0.01953125","0.015625","0.0234375","1216","0.00020410587870106346","0","0.00020410587870106346","0.00020410587870106346","71_58:0.006824678093566405;71_77:0.0096870259948581","71_58:533.3333333333333;71_77:533.3333333333333","true"
"72","278.08487655970816","258.8801883105666","4.874551007616654","-0.30919743263741656","0.06396484375","0.08154296875","0.04638671875","1216","0.00043301352080076763","0","0.00043301352080076763","0.00043301352080076763","72_62:0.009415544409035304","72_62:533.3333333333333","true"
"73","270.3791068024949","160.6684624519752","4.87479241990176","-0.3102390852422053","0.01123046875","0.00732421875","0.01513671875","1216","0.00014144528418489713","0","0.00014144528418489713","0.00014144528418489713","73_85:0.006432859865768692;73_66:0.01795561751547481","73_85:533.3333333333333;73_66:533.3333333333333","true"
"74","269.989744259643","321.2270195711618","4.814360279455924","-0.31129790243600725","0.0029296875","0.0048828125","0.0009765625","1216","0.00028704407750468385","0","0.00028704407750468385","0.00028704407750468385","74_70:0.007237341929306529","74_70:533.3333333333333","true"
"75","298.9343941575937","199.62530753981005","4.76902207736427","-0.31042690020941655","0.046875","0.0537109375","0.0400390625","1216","0.0003248142277203802","0","0.0003248142277203802","0.0003248142277203802","75_76:0.006061940603892979","75_76:533.3333333333333","true"
"76","389.20347004456283","119.84630671322681","4.702019980323729","-0.31291705661427394","0.0146484375","0.0087890625","0.0205078125","1216","0.00011626783540031233","0","0.00011626783540031233","0.00011626783540031233","","","true"
"77","199.329620238126","182.0275712238289","4.80652593991055","-0.3107912307043456","0.010009765625","0.0126953125","0.00732421875","1216","0.0010046364997698429","0","0.0010046364997698429","0.0010046364997698429","77_76:0.007549275444324988","77_76:533.3333333333333","true"
"78","252.41221755471375","329.89364528434953","4.861096794073219","-0.30955241234604897","0.018798828125","0.01708984375","0.0205078125","1216","0.00016175670815925578","0","0.00016175670815925578","0.00016175670815925578","78_77:0.02910679164508101;78_79:0.007826912217642645","78_77:533.3333333333333;78_79:533.3333333333333","true"
"79","325.3124246718621","25.652875211544597","4.7860638626146965","-0.31151163662354525","0.010498046875","0.0146484375","0.00634765625","1216","0.00022043780646607662","0","0.00022043780646607662","0.00022043780646607662","79_91:0.010562631086512675","79_91:533.3333333333333","true"
"80","165.24056383426648","194.7573816407268","5.042758256287884","-0.3079238440194016","0.00830078125","0.00634765625","0.01025390625","1216","0.00018242253403265022","0","0.00018242253403265022","0.00018242253403265022","80_81:0.010270527649322347;80_79:0.010396803884474948","80_81:533.3333333333333;80_79:533.3333333333333","true"
"81","53.259738660676746","44.554143069578025","4.9613990088506466","-0.30881300331410194","0.00439453125","0.00537109375","0.00341796875","1216","0.00041802068181199186","0","0.00041802068181199186","0.00041802068181199186","81_82:0.012059444654431706;81_72:0.01705092068500269","81_82:533.3333333333333;81_72:533.3333333333333","true"
"82","364.8717277052952","250.24340046419374","4.815087623228987","-0.31103172317325406","0.005126953125","0.00732421875","0.0029296875","1216","0.0001405740073282731","0","0.0001405740073282731","0.0001405740073282731","82_83:0.0031233179709128644","82_83:533.3333333333333","true"
"83","374.23506206870803","51.780027848239456","4.737881813126222","-0.31352595557444946","0.023681640625","0.01318359375","0.0341796875","1216","0.00016887890186162167","0","0.00016887890186162167","0.00016887890186162167","83_84:0.006142005092272529","83_84:533.3333333333333","true"
"84","440.5115034167316","231.22222913376814","4.666027050466203","-0.3133527023161981","0.031982421875","0.02294921875","0.041015625","1216","0.00021179814411530977","0","0.00021179814411530977","0.00021179814411530977","","","true"
"85","342.4944556064843","164.80381262691688","4.745278638138953","-0.3119683812702387","0.033935546875","0.02783203125","0.0400390625","1216","0.00019836870179951082","0","0.00019836870179951082","0.00019836870179951082","85_84:0.006255982935379101","85_84:533.3333333333333","true"
"86","184.0361330303013","180.44365021665","4.889915356282848","-0.30913746648321616","0.022705078125","0.0400390625","0.00537109375","1216","0.0007018954049158613","0","0.0007018954049158613","0.0007018954049158613","86_85:0.013216540228113915;86_87:0.006592784227098913","86_85:533.3333333333333;86_87:533.3333333333333","true"
"87","313.38898693547156","102.58931993993328","4.82440972884077","-0.3099624961358293","0.010986328125","0.00927734375","0.0126953125","1216","0.00013928402139932571","0","0.00013928402139932571","0.00013928402139932571","87_88:0.007936565361223835","87_88:533.3333333333333","true"
"88","255.06057349018903","110.30376230870094","4.689560778219789","-0.3191806929563948","0.01318359375","0.013671875","0.0126953125","1216","0.00028488389559296317","0","0.00028488389559296317","0.00028488389559296317","","","true"
"89","294.7908845316474","252.56475393623555","4.9479466481174","-0.30883270351675324","0.020751953125","0.01318359375","0.0283203125","1216","0.00023856755017295677","0","0.00023856755017295677","0.00023856755017295677","89_88:0.007626754541681546;89_74:0.006732976920929112","89_88:533.3333333333333;89_74:533.3333333333333","true"
"90","264.3463770303581","218.01361909908977","4.803094939666782","-0.3102348928876509","0.0107421875","0.01220703125","0.00927734375","1216","0.0009158027336612085","0","0.0009158027336612085","0.0009158027336612085","90_94:0.008100485462176565;90_75:0.015313098998530783","90_94:533.3333333333333;90_75:533.3333333333333","true"
"91","105.57845697421308","104.09132120129945","4.893171796714338","-0.30983443429771806","0.0078125","0.01171875","0.00390625","1216","0.00023152097405789495","0","0.00023152097405789495","0.00023152097405789495","","","true"
"92","279.2811505707686","237.92791031602587","4.827698736877466","-0.3103693565337272","0.025634765625","0.01171875","0.03955078125","1216","0.00026045456290917145","0","0.00026045456290917145","0.00026045456290917145","92_83:0.006124908887015945;92_102:0.011694058616567193","92_83:533.3333333333333;92_102:533.3333333333333","true"
"93","211.69400836838943","56.884202307183934","4.9104440395647755","-0.30921828977226556","0.007568359375","0.0068359375","0.00830078125","1216","0.0003793171751686708","0","0.0003793171751686708","0.0003793171751686708","93_106:0.014427890054830972;93_87:0.010545936891581897","93_106:533.3333333333333;93_87:533.3333333333333","true"
"94","244.5838837460152","332.8926892779199","4.7197377033941565","-0.3121150063159316","0.010498046875","0.0126953125","0.00830078125","1216","0.00014614706212244102","0","0.00014614706212244102","0.00014614706212244102","","","true"
"95","355.6598675255425","170.3612765359717","4.802313642756004","-0.3113439855731095","0.008544921875","0.01025390625","0.0068359375","1216","0.0004308902710718725","0","0.0004308902710718725","0.0004308902710718725","95_94:0.006328500370733403;95_96:0.012561418050812623","95_94:533.3333333333333;95_96:533.3333333333333","true"
"96","123.63657027702817","118.8954593308894","4.852635677957398","-0.3071950533738793","0.010986328125","0.0166015625","0.00537109375","1216","0.0008197869828068029","0","0.0008197869828068029","0.0008197869828068029","","","true"
"97","238.1400173425304","256.00092109702445","4.949952548455741","-0.3087084614989645","0.017822265625","0.00830078125","0.02734375","1216","0.00018100167267082464","0","0.00018100167267082464","0.00018100167267082464","97_96:0.008248505299531639;97_98:0.005536544219980899","97_96:533.3333333333333;97_98:533.3333333333333","true"
